AttackCount,Organisation
2,Black War
2,Clandestini Corsi
2,Popular Resistance Sabotage Group
2,4 August National Organization
2,Group for Martyred Isam as-Sartawi
2,Anarchist Solidarity
2,Anti-Establishment Nucleus
2,Nihilists Faction
2,Children of November
2,May 98
2,Anarchist Faction
2,Solidarity with imprisoned members of Action Directe (AD)
2,Armed Revolutionary Action (ENEDRA)
2,Iconoclastic Sect
2,Palestinian Hezbollah
2,Conqueror Army
2,Tawhid and Jihad (Palestine)
2,Ahfad al-Sahaba-Aknaf Bayt al-Maqdis
2,Jordanian Revolutionary and Military Committee (MOUAB)
2,Poor People's Party
2,Zetas
2,Gutierrez Gomez Resistance Group
2,Pro-Khasbulaton Rebels
2,Russian separatists
2,Imam Shamil Battalion
2,28 May Armenian Organization
2,Islamic Cause Organization
2,Civil Protection Units (YPS)
2,Fundamentalists
2,Iraqi Democratic Front
2,Belarusian Liberation Army
2,Organization of the Sons of Occupied Territories
2,Popular Resistance Brigade
2,Proletarian Revolutionary Action Front (FRAP)
2,Bolivian Luminous Path
2,Alejo Calatayu
2,Kolla Benjo Cruz Command
2,Puka Inti Maoist Communist Party
2,Democratic Movement for the Liberation of the Eritrean Kunamas (DMLEK)
2,Rote Zora
2,Iraqi Communists
2,The Eradication of Evil
2,Independent Nasserite Movement
2,Black Hand
2,Palestinian/Lebanese nationalists
2,Arab Socialist Baath Party
2,Dnestr Republic Separatists
2,National League for Democracy
2,Vigorous Burmese Student Warriors
2,Council for Popular Justice
2,Urhobo Gbagbako
2,Odessa Underground
2,Torpedy Group
2,Abstentionist Brigades
2,People's Revolutionary Movement (MRP)
2,Gaitanista Self-Defense Forces of Colombia (AGC)
2,Martyrs of La Talanguera
2,Central American Movement of Solidarity (MOSCA)
2,Communist Party of Malaysia- Marxist-Leninist
2,Ansar Wa Mohajir (Pakistan)
2,Tehrik-e-Tuhafaz (Pakistan)
2,Sindh Liberation Front
2,Baloch National Liberation Front
2,Zimbabwe People's Army (ZIPA)
2,Sanidila Secessionist Movement
2,Argentine National Organization Movement (MANO)
2,Eva Peron Organization
2,Revolutionary Cells (Argentina)
2,Umbane People's Liberation Army (Swaziland)
2,Movement of the Revolutionary Left (MIR) (Venezuela)
2,Forest Brothers
2,Islamic Shashantantra Andolon (ISA)
2,Al-Qaida Network for Southwestern Khulna Division
2,Carlos Echeverria commando group
2,Soldiers of the Caliphate
2,Mozambican Rebels
2,Islamic Jihad Union (Uzbekistan)
2,Autonomy Front
2,Red Revolutionary Front
2,Into the Blue Commando of the Revolutionary Cells
2,Down with Lubbers
2,Actiefront Nationalistisch Nederland
2,Right-Wing Rebel Military Group
2,Filipino Soldiers for the Country
2,Krause Group
2,Generation of Arab Fury
2,Bahrain Province of the Islamic State
2,Quartermoon Society
2,Students for a Democratic Society
2,Sons of Liberty
2,Americans for Justice
2,M-7
2,Continental Revolutionary Army
2,The Scorpion
2,Maccabee Squad and the Shield of David
2,Revolutionary Cells-Animal Liberation Brigade
2,Sovereign Citizen
2,Veterans United for Non-Religious Memorials
2,White Rabbit Three Percent Illinois Patriot Freedom Fighters Militia
2,Scottish Socialist Republican League
2,South Londonderry Volunteers (SLV)
2,Revolutionary Peoples Army
2,Gruppe Haw Weg Den Scheiss
2,Proletarian Action Group
2,Avengers of the Infants
2,Congolese Democratic Coalition
2,Freedom Eagles of Africa
2,Kurdistan National Union
2,Koreans
2,Al-Hadid
2,U/I Islamic Separatists
2,United Liberation Front of Barak Valley (ULFBV) - India
2,Bru National Liberation Front (BNLF)
2,Ghniwah Militia
2,Ansar al-Din Front
2,Al-Bakazim
2,Terena Indians
2,Front de Liberation du Quebec (FLQ)
2,National Independent Committee for Political Prisoners and Persecuted and Missing Persons
2,Southern Sierra Peasant Organization
2,People's Militia of Dagestan
2,Vanuatu Mobile Force (VMF)
2,Jorge Eliecer Gaitan Nationalist Movement
2,Ittehad-i-Islami
2,People's Amn Committee
2,Irian Jaya Rebels
2,Rizvon Sadirov Group
2,Jaish al-Muslimin (Army of the Muslims)
2,Magahat Militia
2,Dominican Popular Movement (MPD)
2,Popular Front for Recovery (FPR)
2,Group of the Fatima Church Attack
2,Defenders of the Fatherland
2,Citizen's Rights Protection Volunteers
2,Rajput extremists
2,Combat Territory Groups
2,Worker Counterpower
2,Armed Commandos in the Fighting Army of Mario Zichieri
2,Revolutionary Communist Party
2,Aryan Brotherhood
2,Anti-Imperialistic Communist Revolutionaries
2,Committee for Direct Action Against War
2,Maruseido (Marxist Youth League)
2,League of Communists
2,Tharuhat Joint Struggle Committee (TJSC)
2,Syndicalist Action Groups
2,Ramiro Ledesma Social Centre
2,Action Front for the Liberation of the Baltic Countries
2,Polish
2,Revolutionary Anti-Capitalist Initiative
2,Greek Anarchists' Union
2,Anti-Democratic Struggle
2,Gangs of Conscience
2,Ma'sadat al-Mujahideen
2,Friends of Freedom
2,Fire and Flame for the Police (FFdP)
2,Provisional National Government of Vietnam
2,Movement for the Restoration of the Independence of Southern Cameroons
2,Revolutionary Force 26
2,Puerto Rican Liberation Front
2,Gay Liberation Front
2,Christian Liberation Army
2,Farm Animal Revenge Militia (FARM)
2,Black Cells
2,Union of Patriots for the Defense of Innocents (UPDI)
2,National Council for Revival and Democracy (CNRD)
1,Cubans seeking escape from Cuba
1,Iranian Monarchists
1,Jordanian National Liberation Movement
1,Bani Hilal Tribe
1,Justice and Liberty Warriors
1,Pro-migration extremists
1,Al-Fateh Al-Jadid
1,Azadejan (Liberation)
1,Lebanese male
1,Supporters of Saddam Hussein
1,Guaycaipuro Indians
1,Iraqi Moslems
1,Anti-Soviet protest group
1,Union of Peaceful Citizens of Algeria
1,Unarmed Algerian
1,Bosnian refugee
1,Sons of the South (Shiite Muslim Group)
1,Burmese Minority Group Pirates
1,Somali Patriotic Movement
1,Aidid Militia
1,Anti-Yanukovych extremists
1,Former members Central Investigation Office
1,Liga Agraria Campesina
1,Tacayana Indians
1,Komando Jihad (Indonesian)
1,Nicaraguans protesting their government
1,Zero Point
1,International Movement of the Prolitariat
1,Anti-govt student groups
1,Nicaraguan Democratic Anti-Communist Movement
1,Ahmad Alawi al Muqbili
1,Isatabu Freedom Movement (IFM)
1,Students  U of PNG
1,Local Residents
1,Free and Democratic Society of Eastern Kurdistan (KODAR)
1,Association of Students and Pupils in Mali (AEEM)
1,Black African Vigilantes
1,Liberation Youth Coordinating Board
1,Party for Democracy anti-nuclear-test protesters
1,National Renewal Party
1,Ningo Tribe
1,Al-Sunni muslim sect
1,Communist Trade Union Workers
1,Afghan Merceneries
1,Karnataka State Farmers Association
1,Jatav Caste
1,All Karanataka Youth Council
1,Armed Anti-Imperialist Movement
1,Combatant Nucleus for Communism
1,Revolutionary Communist Armed Nuclei
1,Shonkonjuku Group
1,Association for the Enhancement of the Justice of the Great Japan
1,Kisii Activists
1,Basic People's Congresses
1,Omar Mukhtar Militia
1,Mongolian Mukti Morcha
1,People's Liberation Front of Niger
1,PORE
1,War Veterans
1,Individuals claimed to be policemen
1,Guajajara Tribe
1,Civil Servants and Unionists
1,Korubo Tribe
1,Kurdish demonstrators
1,Allied Democratic Forces of Guinea (RDFG)
1,Young Pioneers
1,Indians
1,Student Revolutionary Front (FER)
1,Opposition movement of Colon Province Unemployed
1,Unidentified Infiltrators
1,Democratic Progressive Party
1,Revolutionary Forces for the Liberation of Iraq
1,East Turkistan Liberation Organization
1,Uganda National Liberation Front (UNLF)
1,West Nile Bank Front (WNBF)
1,Kurdish Independence Group (name unk)
1,Martyr al-Nimr Battalion
1,Workers of the Company
1,MNR of the Left
1,BZers
1,Ecuadorian Communist Youth
1,Popular Democratic Movement (MPD)
1,Disgruntled Petroecuador workers
1,Social Christian Party (PSC)
1,Demonstration led by French Anti-Nazi Hunters
1,Right-Wing Youths
1,Hungarian Skin Head Group
1,Sea Shepherd Conservation Society
1,Kokang
1,Mali students
1,Sa'ad Militia
1,Supporters of Second Prime Minister Hun Sen
1,Banya Tribe
1,Tribal Clash
1,Macetos (Paramilitary Group)
1,Western Somalia Liberation Front
1,Tanzeem Ittehad - I - Ulema Qabail (Tiuq)Tribesmen
1,National Youth Service of Zimbabwe
1,Feliciano Argueta Front
1,Labor Union Leaders
1,Demonstrators
1,Pemuda Pancasila
1,Dayak gang
1,Sandval (union) Movement
1,Burmese refugees
1,United Students Forum
1,All-Party Students Union
1,U/l men
1,Costa Rican Peoples' Army (EPC)
1,Homeland and Freedom Group
1,Zairian Dissidents
1,National Liberation Army (El Salvador)
1,Red Resistance Front
1,Free All Political Prisoners in Holland
1,Seaborne Moslem Raiders
1,Filipino Communists
1,Sagrado Corazon Fanatic Group
1,Chondaehyop (Radical Student Coalition)
1,Shop owners
1,Namchong-Nyon Students
1,South Sudan Armed Forces (SSAF)
1,Xhosa Tribal Workers
1,Zulu Miners
1,Boer Sentries
1,Skinhead group
1,Moslem Paramilitary Group
1,Census Opponents
1,Committee for a National Drive for Peace and Democracy
1,Dissident Military Mmbrs of Northern Tribal Group
1,Armed Forces for a Federal Republic (FARF)
1,Siah KAL
1,Ansar Sarallah
1,Arab People's Group
1,Barzani Guerrillas
1,Hamawand Tribe
1,Anti Kurdish Workers Party Iraq nationals
1,Anbar Salvation Council
1,Diyala Salvation Council
1,Islamic Legion
1,Black Malian Group
1,National Committee for the Restoration of Democracy and State (CNRDR)
1,Youth Movement for the Total Liberation of Azawad
1,Council for Justice in Azawad
1,Movement for the Salvation of Azawad (MSA)
1,Peruvian Rebels
1,Etnocacerista Movement
1,Militarized Communist Party of Peru (MPCP)
1,Togolese Peoples Rally
1,Guerrilla Movement of the Poor (MGP)
1,Chilean Committee of Support for the Peruvian Revolution
1,Social Patriot Movement
1,Tibetan separatists
1,Concerned citizens
1,Jaljala Army
1,Youth of the Land of Egypt
1,Ansar al-Islam (Egypt)
1,Convention of Liberal Reformers (CLR)
1,Attaches
1,Supporters of President J-B Aristide
1,Meitei extremists
1,Tripura Nationalists
1,Pakistani trained terrorists
1,Smugglers and Elephant Poachers
1,Servants of Islam Organization
1,Maoist Farm Laborers Struggle Committee (MXSS)
1,Mazdoor Kisan Sangram Samiti (MKSS)
1,Bengali Tiger Force (BTF)
1,Akhilesh Singh Gang
1,Achik National Volunteer Council (ANVC)
1,Bodo People's Front (BPF)
1,Popular Front of India
1,National Liberation Council of Taniland
1,National Santhali Liberation Army (NSLA)
1,All Assam Revolutionary Army (AARA)
1,Popular Front of India (PFI)
1,Takam Mising Porin Kebang (TMPK)
1,Fighting Workers for Communism
1,Proletarian Fighting Brigades
1,Proletarian Armed Squads
1,Communist Fighting Detachments
1,Fighting Communist Unit
1,Armed Proletariat Fighting Squad
1,Communist Fighting Front
1,Armed Groups of Organised Proletariat
1,Fighting Proletarian Front
1,Continuing Struggle
1,Revolutionary Leninist Brigades
1,Anti-Chon radical elements
1,Seiji Kesha Kokuyukai
1,Great Japan Patriotic Party
1,"Ultra Nationalist Group, name not given"
1,Sabaot tribesmen
1,Sabaot Tribe
1,Toposa and Dongiro Tribes
1,Kenyan rebels from Uganda
1,Maasai
1,National Development Party (NDP)
1,Borana bandits
1,Zintani Militia
1,Jund al-Islam
1,Misurata Rebels
1,Anger of Fezzan movement
1,Al-Khums Revolutionaries' Union
1,Rival Party Members
1,United Janatantrik Terai Mukti Morcha (U-JTMM)
1,Terai Janatantrik Madhes Party
1,Terai Madheshi Mukti Morcha (TMMM)
1,Popular Front for the Liberation of the Sahara
1,Support for Refugees (Appui aux Refugies)
1,Spanish Falange
1,Basque Refugee Support Group
1,Haika
1,National Democratic Alliance of Sudan
1,National Redemption Front
1,Supporters of Sultan Abd-al-Bagi
1,Abu Tira (Central Reserve Forces)
1,Hamza Combat Group against Atheism and Heresy
1,Syrian Army deserters
1,Revolutionaries Army (Jaysh al-Thowwar)
1,Jabal al-Islam Brigade
1,Faqra Tribal Group
1,Local Extremist
1,Hushaysh Tribal Members
1,Dissident Republican Guard
1,Congolese Liberation Party (PLC)
1,Supporters Opposition Leader Etienne Tshisekedi
1,Armed Gold Miners
1,Anti-feminist extremists
1,Baby Liberation Army
1,Basque Justice
1,Autonomous Group for Armed Action
1,Union Du People Corse
1,Group Yuri Choukewitch
1,Right-Wing National Youth Front
1,Bande des Rats (the rat pack) Ukranian Group
1,Jewish Defense Organization
1,"Resistance, Liberation and Independence Organization (AAA)"
1,Wild Geese of the Cities
1,Anti-Fascist Action
1,Red Line
1,Anarchist Squad
1,Group of Carlo Giuliani
1,Anarchist Liberation Brigade
1,Militant People's Revolutionary Forces
1,Residents and regulars of Exarchia
1,Chaotic Harmony
1,Unk (men in army uniforms with arms and gas masks)
1,Village League
1,Israel Militant
1,Agudat Israel Party
1,Bedouin Israeli extremists
1,Islamic Jihad Beit-al Maqdis Group
1,Islamic Renewal Movement
1,Latvian Republic Volunteer Troops
1,Anti-government rioters
1,Evangelical Christians
1,Rival peasant band
1,Kidnapping gang
1,Justice Army for Defenseless Peoples
1,Union of Peoples and Organizations of the State of Guerrero (UPOEG)
1,Congress of Kabardian People
1,Militant Organization of Russian Nationalists
1,Sayfullakh
1,Caspian Group
1,Gunib Group
1,Kizilyurtovskiy Group
1,Begumcans Cell
1,Justice Party
1,Kurdish Marxist Separatists
1,People's Path
1,Resistance Movement of the Union of Revolt Workers
1,Soskan tribe
1,Motherland Party
1,Pro-State Militiamen
1,Revolutionary Headquarters (Turkey)
1,Popular Resistance Army (PRA)
1,Ugandan People's Democratic Army
1,Uganda Democratic Christian Army (UDCA)
1,Uganda Federal Democratic Alliance (UFEDA)
1,Tayeb Al-Afghani's Islamist Group
1,Algerian Mujahideen for Muslims
1,Armed Islamic Movement
1,Habi's Er'roub seriat
1,Ed'daoua Es'salafia Lilqadha
1,Salafi Daawa Group
1,AFB
1,National Front for the Liberation of Belgium
1,Crazy Brabant Killers
1,Juwa Party
1,Croatian Militia
1,Retired Soldier
1,White Legion (Ecuador)
1,Kaitseliit Paramiltary Group
1,Rebels backing deposed Pres. Zviad Gamsakhurdia
1,Georgian Sabotage Group
1,Islamic Golden Army
1,Albanian exiles
1,Asylum Seekers
1,Autonomous Decorators
1,Anti-Roma extremists
1,Arab Socialist Union Members
1,Armed Struggle Organization
1,Palestinian Forces
1,Martyr Ahmad Alishuay B Group
1,Faithful Resistance
1,Future movement (Lebanon)
1,14 March Coalition
1,Mawlawi and Mansour Group
1,Kouweikhat Group
1,National Democratic Front of Liberia
1,Russian Militia
1,Dnester region guerrilas
1,Dnestr Rebels
1,Arakan Rohingy Islamic Front
1,Effiat ethnic roup or Jbibio Peoples
1,Katap Ethic Group
1,Hauso Ethnic Group
1,Igbo tribal group
1,Association of Mobil Spill Affected Communities (AMSAC)
1,Itsekiri
1,Al-Sunna wal Jamma
1,Ombatse Cult
1,Casamance Separatists
1,Somali Gang
1,Gunmen loyal to Mohammad Farah Aideed
1,Majerten clansmen
1,Rival clan
1,Matan Abdulle
1,Supporters of Muhammad Umar Habib
1,Supporters of Muse Sudi Yalahow
1,Islamic Tendency
1,Awdal Regional Administration Army (ARAA)
1,The 78 Unemployed
1,Natsionalnyi Druzhiny
1,Sober and Evil Youth
1,Broad Front
1,Foibe tribe
1,Popular Revolutionary Movement (Colombia)
1,Broad Commando of National Liberation
1,Colombian Revolution
1,leftist guerrillas-Bolivarian militia
1,Patria Grande Ejercito del Pueblo
1,Issa and Gurgura Liberation Front
1,Amhara tribal group
1,Anti-Communist Action Alliance
1,Elements Police Cobra Squadron
1,Pathan Tribal Group
1,Ujjan Tribe
1,Pakistan Muslim League (PML)
1,Mahsud Tribe
1,Baloch Mussalah Diffah Tanzim (BMDT)
1,Zehri Youth Force (ZYF)
1,Jaish as-Saiyouf (Army of Swords)
1,Majlis-e-Askari
1,Jaish al-Umar (JaU)
1,Mullah Nazir Group
1,Peasant Squatters
1,Rightist supporters of Democratic Alliance
1,Rhodesian guerillas
1,Tucayana Amerindians
1,Muslim Renewal
1,Thai Communists
1,Cambodian guerrillas
1,Liberation War Veterans Association
1,Argentine Youths for Sovereignty
1,All for the Fatherland Movement
1,Combat 18
1,Chinese Pirates
1,National Council of Maubere Resistance
1,Catholic E. Timurese
1,Negara Islam Indonesia (NII)
1,Lithuanian Land Guard
1,MILPAS Contras
1,"Anti Somoza Gp, name unk"
1,People's Information Group
1,Miguel d'Escoto Brockman Community Movement
1,Jorge Martinez Association of Combatants
1,El Mico Rebel Gray
1,Gang separatists terrorists
1,Sinhalese Insurgents
1,Flying Eagles (Vigilante Group)
1,Equilibrio Nacional
1,Bangladesh National Socialist Party
1,Committee for the Elimination of Killer Collaborators
1,Ohabi Islamic Sect
1,Sammilito Sangskritik Jote (Alliance of Cultural Forums)
1,Socialist Chhatra League
1,Rival Bangledesh Chhatra League Faction
1,Anti - Election Demonstrators
1,Bangalee Somo Odhikar Andolon
1,Uighur Liberation Organization
1,Militant Movement for Madagascan Socialism (MMSM)
1,Didier Ratsiraka's Militia
1,Yich Telga
1,Mozambique Rightest Rebels
1,Front of Resistance and National Liberation of Albanians
1,Revolutionary Student Brigade
1,Revolutionary Coordination of the Masses
1,Bloque Anti-Guerrillero de Oriente (BAGO)
1,Liberia Peace Council
1,U/I Liberians
1,Kim Pyongnil Supporters
1,Black Forest Command
1,God our Father Cult
1,Bodyguards of Muslim Warlord Governor Tupay Loong
1,"Supporters, House Speaker Ramon Mitra"
1,U/I Private army of wral politician
1,Tulawie Clan
1,H-World/Heavenly Group
1,Revolutionary Proletarian Army
1,Aniban ng Ayaw sa Komunista (ANAK) 
1,New Indigenous People's Army
1,Revolutionary Front
1,Union of the Peoples of the Arabian Peninsula
1,Supporters of the Islamic State in the Land of the Two Holy Mosques
1,Civil Defense Force (CDF)
1,Mandela Soccer Club
1,Zulu Militants
1,"Rival Zulu Group, name not stated"
1,Gun runners
1,ROSADO-SOTO Command
1,Hawaiian extremists
1,Posse Comitatus
1,Anti-Kim Jong-il extremists
1,Anti-Liberal extremists
1,Minutemen American Defense
1,Loyalist Action Force
1,Borderless Solidarity Cell (BSC)
1,Catholic extremists
1,Guadalcanal Liberation Army
1,Paupa New Guinea Troops
1,Trinitarians
1,Commando 15th October
1,Presidential Movement (MP) Militiamen
1,Malitia-Pro Govt
1,Popular Army for the Restoration of Democracy (APRD)
1,Forces for the Unification of the Central African Republic (FIRCA)
1,Kara clan
1,Martyrs Halim Group
1,Abu Musa Group
1,Ba'adi (on my own behalf)
1,Hasmoneans (Jewish Settler Group)
1,The Husayn Ubayyat Martyrs' Brigades
1,Gilad Shalhevet Brigades
1,The Nation's Army
1,Marwan Al-Qawasimi and Amir Abu-Ayshah Group
1,Jordanian extremists
1,Congolese Rally for Democracy (RCD)
1,Lendu extremists
1,Colonel Albert Kahasha Militia
1,Mai Mai Manu Militia
1,Mai Mai Portuguais Militia
1,Mai Mai Kyandenga Militia
1,The Great Serpent
1,Marxist Peoples Fedayeen of Iran
1,Ultra Conservative Clerical Group
1,Mahdaviyat
1,Al-Da'wah Party
1,Kurdish Peshmerga Guerrillas
1,Brigades of Iman Hassan-al-Basri
1,People's Guerrilla Front
1,Marxist Resistance Movement
1,Personnel of the National Information Center
1,Revolutionary Movement of People in Arms
1,Egyptian Revolutionary Organization
1,"Militant Islamic Group, name not stated"
1,Civilians Seeking Revenge
1,Execution Squad (Egypt)
1,Lavalas Supporters
1,Fanmi Lavalas
1,Jarnail Khalsa
1,Saffron Tigers
1,Karamyit Singh
1,Organization of Arab Fedayeen Cells
1,Minority Unity Forum
1,Bihar People's  Party (Hindu militants)
1,Thavar Caste
1,Praveen Dalam
1,Al-Fajr
1,United Karbi Liberation Army (UKLA)
1,Kuki Independent Organization (KIO/KIA)
1,Kuki Unification Frontal Organization (KUFO)
1,Dashmesh Regiment
1,Liberal Democratic Council for Missing Land
1,Indigenous People's Front of Tripura (IPFT)
1,Dravidar Kazhagam
1,Combat Brigades
1,Communist Fighters Association
1,Communist Attack Brigades
1,Combatant Communist Front
1,Organized Comrads for Communism
1,Communist Nuclei of Counter Power
1,Proletarian Division for the Army of Communist Liberation
1,Communist Nuclear
1,Front Line Armed Nuclei (FLAN)
1,Syrian Battle Front
1,Organization of Mauritanian Nationalists
1,L'Asilo
1,National Defense Youth Corps
1,Dainihon Yokuko Doshikai
1,Japanese Independence Patriotic Party
1,Hotaru (Firefly)
1,Yokoku Seiwa-Kai
1,Hiroyuki Jo
1,Islamic Movement of Martyrs
1,Vanguards of the Caliphate
1,Abu Bakr Unis Jabr Brigade
1,Room of the Neighbourhoods Youths
1,United People's Front
1,Nepalbad Party
1,Janatantrik Tiger Janashakti Party
1,International Anti-Communist Intelligence Service
1,Spanish International Communist Party
1,Catalonian Resistance
1,Basque Country Autonomous Self-Defense Group
1,Catalan Militia
1,Anya-Nya II Militia
1,Islamist Sufi Group
1,Diraa al-Shahbaa Rebel Brigade
1,Ayesha bint al-Sadiq Brigade
1,Popular Resistance Committees in Daraa
1,Pareci Indians
1,Chinese Mafia
1,Arab Unionist Nationalist Organization
1,Turkish Revenge Brigade
1,Raul Sendic International Brigade
1,Rezi Rezai International Brigades
1,Honour of the Police
1,Muslim Liberation Front
1,Autonomous Revolutionary Brigade
1,Committee for the Safeguard of the Islamic Revolution
1,France's Honour
1,National Front Security Service
1,French National
1,Cuncolta Naziunalista
1,Movement for Self-Determination
1,Movement for Rebuilding Fatah
1,Insurrectionals from the Frontier
1,People's Temple
1,Temple Mount Faithful Movement
1,Jewish Fighting Organization (Eyal)
1,Syrian Terror
1,Avenge the Arab Nation
1,Nobles of Jordan
1,Alpha-66 (Cuban counterrevolutionary)
1,Movement for Triqui Unification and Struggle
1,U/I Catholic Traditionalists
1,White Guard
1,Polish Skinheads
1,Wolves of Islam
1,Misanthropic Division
1,National Republican Movement for Democracy and Development (MRND)
1,Fighters for the Liberation of the Turkish People
1,Republican People's Party
1,Revolutionary Road
1,Turkish Islamic Commandos
1,Boz-Ok (Grey Arrow)
1,Maoist Communist Party (MKP)
1,The Independent Military Wing of the Syrian Revolution Abroad
1,New Ugandan Army
1,Uganda Federal Army
1,Movement of the Islamic State (MEI)
1,Kamal Boulander Group
1,Zionist Resistance Fighters
1,Arabian Peninsula Freemen
1,Survivors of Hama
1,Extreme Left
1,Workers' Revolutionary Party
1,Dignity Command
1,ATALA
1,Grupo Libertad
1,Action Group for the Destruction of the Police State
1,Socialist Labor Party of Lebanon
1,July 14 Movement
1,Right Wing Lebanese Militiamen
1,Sham 'unite
1,GP II
1,Martyr Ali Nasir group
1,Iranian Revolution Organization
1,Lebanese and Palestinian Resistance Fighters
1,Palestinian-nationalist Lebanese joint movement
1,Arab Commando Cells
1,Supreme Islamic Council
1,Lebanese Secret Army
1,Tanyus Shanin Armed Unit
1,Liberation Battalion
1,Four Martyrs Brigade
1,Islamic Movement (Nigeria)
1,Liberation Front of the Senegalese People
1,Dioulas tribal group
1,Musa Sudi Yalahow Militia
1,Raskamboni Movement
1,Al-Furqan (Tunisia)
1,Cambodian National Front for National Salvation
1,Baya Tribe
1,Civic Guard
1,Condor Plan Criminals
1,Death to Drug Traffickers
1,Cleansing Hand (La Mano Que Limpia)
1,Death to the Demobilized Militias
1,Human Rights Defence Committee
1,Guatemalan hired assasins
1,National Awami Party
1,Supporter of Bhutto
1,Iranian dissident group
1,Local landlord employee
1,Rival Afghan Group
1,Fedayeen Imam Mahdi
1,Tehrik-e-Nifaz-e-Aman Balochistan-Jhalawan Brigade (TNAB-Jhalawan Brigade)
1,Tehreek-e-Labbaik Pakistan (TLP)
1,Khmer Serei Guerrillas
1,National United Front of Democracy Against Dictatorship (UDD)
1,Ahmad Luebaesa Group
1,Dissidents linked to Zanga
1,Ana Maria Martinly August 22 Brigade
1,Former Border Policeman
1,U/I Asian Gang
1,Miguel Angel Cabrera Command
1,Armed Action Force (FADA)
1,National Liberation Movement Party
1,Guerrilla Command Force 97
1,People's Army (Nicaragua)
1,National Thowheeth Jama'ath
1,Revolutionary Bolivariano Movement 200
1,Bolivarian Army of Liberation
1,Bangladesh Communist Party
1,Hill Students Council
1,Islamic Revival Movement
1,Tolib Ayombekov loyalists
1,Harakat-i-Inqilahi-i-Islami
1,Party of National Conciliation
1,National Republican Alliance Party
1,Armenian Red Army
1,Hofstad Network
1,Anti-Communist Vigilante Patrol
1,Moro National Liberation Front Splinter group
1,Korean Youth League
1,International Justice Group (Gama'a al-Adela al-Alamiya)
1,National Freedom Party
1,Armenian paramilitary group
1,The World United Formosans for Independence (WUFI)
1,Movement for Cuban Justice (Pragmatistas)
1,Tribal Thumb
1,Supporters of Charles Manson
1,Cypriot
1,The Jewish Execution with Silence
1,Worldwide Organization of Native Taiwanese
1,Croatian Liberation Army
1,Anti-Communist Viets Organization
1,Revolutionary Labor Commandos
1,People's Liberation Army (Northern Ireland)
1,Prisoner's Action Force
1,Animal Defense League
1,Organization of Mujahadin of Islam
1,Red Commandos
1,Guadalcanal Liberation Front (GLF)
1,Zemun Clan
1,MANO-D
1,Red June of 14 June
1,Commando Heinz Neumann
1,Movement of the Third Reich
1,Anti-Capitalist Commando
1,Kamal Udwan Unit of Palestinians
1,Lebanese Resistance Group
1,Black Tigers
1,Organization for Zionist Retribution
1,David's Sword
1,Palestinian Activists
1,Intifada Martyrs
1,Ganda Koi
1,Ticuna Indian
1,Leftist youths
1,Pro-Aristade
1,Slum Dwellers
1,Bharat Zinc Workers
1,National People's Party (Rashtriya Janata Dal - RJD)
1,People's Democratic Council of Karbi Longri (PDCK)
1,Organization of Metropolitan Proletariat and Oppressed Peoples
1,CasaPound
1,Sungu Sungu
1,All Nepal Free Nationalist Students Union
1,Alde Hemendik Movement
1,Pataxo Indians
1,Force Etudiante Critique
1,Front for Armenian Liberation
1,Autonomous Groups
1,Ecology and Antinuclear Revolutionary Party (CRAE)
1,SERB Group (Russian Liberation Movement)
1,Justice Guerrillas
1,Iranian exiles
1,Revolution Chemnitz
1,Anti-Fascist Spring Bremen
1,S14
1,Rival Soccer Clubs
1,Youth Gang
1,Mahidi
1,Anti-Apostate Movement Alliance (AGAP)
1,Macedonian nationalists
1,Rival Parts
1,Sinhale Jathika Balamuluwa
1,Chavistas
1,Opposition Jatiya Samajtantrik Del Party
1,Ivorian Popular Front
1,Korea Univ. Students
1,Hanchongryun
1,Anti-Sikh extremists
1,Serb demonstrators
1,Plowshares
1,"Sympathizers of ""Iranian People's Zeda'i"""
1,St. Kitts Nevis Labor Party
1,Groups of Martyr Baha Eleyan
1,Idriss Miskine Group
1,Sharivad 17 Tal-Al-Za'atar(Sept 17 Tal-Al-Za'atar)
1,Martyrs revenge organization
1,Separatist Arab Guerrillas
1,Fighters of the People
1,Organization for Purging the Majlis (Parliament)
1,The Aref Boluki Dynamite group
1,National Movement of Iranian Resistance
1,Shahin (Falcon)
1,The Islamic Movement
1,Arbav Martyrs of Khuzestan
1,Jihadi Movement of the Sunna People of Iran
1,Harakat Ansar Iran (HAI)
1,National Accord Movement
1,Armed Vanguards of a Second Mohammed Army
1,Sunni Supporters
1,Jaish-e-Mohammad (Iraq)
1,Jund al-Sahabah Group
1,Jihadist Soldiers
1,Just Punishment Brigades
1,Al-Fatihin Army (AFA)
1,Munadil al-Jumalyi Brigade
1,Iraqi Sunni Extremists
1,Jund Al-Tawid
1,Arab Socialist Baath Party of Iraq
1,Abu Jaafar al-Mansur Brigades
1,Harakat al-Nujaba
1,Revenge of the Martyrs (Tha'ir al-Shuhada)
1,Operations of Martyr Ali Mansour
1,Free Democratic People's Government of Laos
1,Politico-Military Revolutionary Command
1,Javier Heraud Revolutionary Commando
1,Emilio Recabarren Commando
1,Patria y Libertad (Fatherland and Liberty)
1,Arnoldo Camu Command
1,People's Guerrilla Movement
1,Free Fatherland Youth Guerrilla Army
1,Socialist Recovery Movement
1,Comando Bautista B
